date,profile,planned,done,disruption
2026-06-04,steady,4,4,none
2026-06-05,steady,4,4,none
2026-06-06,steady,4,4,none
2026-06-07,steady,4,3,none
2026-06-08,steady,4,3,none
2026-06-09,steady,4,4,none
2026-06-10,steady,4,3,none
2026-06-11,steady,4,3,none
2026-06-12,steady,4,4,none
2026-06-13,steady,4,4,none
2026-06-14,steady,4,3,none
2026-06-15,steady,4,4,none
2026-06-16,steady,4,0,none
2026-06-17,steady,4,3,none
2026-06-18,steady,4,4,none
2026-06-19,steady,4,4,none
2026-06-20,steady,4,3,none
2026-06-21,steady,4,3,none
2026-06-22,steady,4,4,none
2026-06-23,steady,4,3,none
2026-06-24,steady,4,4,none
2026-06-25,steady,4,1,travel
2026-06-26,steady,4,1,travel
2026-06-27,steady,4,1,travel
2026-06-28,steady,4,1,travel
2026-06-29,steady,4,1,travel
2026-06-30,steady,4,2,none
2026-07-01,steady,4,3,none
2026-07-02,steady,4,0,none
2026-07-03,steady,4,3,none
2026-07-04,steady,4,4,none
2026-07-05,steady,4,4,none
2026-07-06,steady,4,3,none
2026-07-07,steady,4,3,none
2026-07-08,steady,4,3,none
2026-07-09,steady,4,4,none
2026-07-10,steady,4,4,none
2026-07-11,steady,4,3,none
2026-07-12,steady,4,3,none
2026-07-13,steady,4,4,none
2026-07-14,steady,4,4,none
2026-07-15,steady,4,3,none
2026-07-16,steady,4,4,none
2026-07-17,steady,4,3,none
2026-07-18,steady,4,4,none
2026-07-19,steady,4,4,none
2026-07-20,steady,4,4,none
2026-07-21,steady,4,4,none
2026-07-22,steady,4,0,none
2026-07-23,steady,4,4,none
2026-07-24,steady,4,4,none
2026-07-25,steady,4,4,none
2026-07-26,steady,4,4,none
2026-07-27,steady,4,4,none
2026-07-28,steady,4,3,none
2026-07-29,steady,4,4,none
2026-07-30,steady,4,0,illness
2026-07-31,steady,4,0,illness
2026-08-01,steady,4,0,illness
2026-08-02,steady,4,2,none
2026-08-03,steady,4,3,none
2026-08-04,steady,4,4,none
2026-08-05,steady,4,4,none
2026-08-06,steady,4,3,none
2026-08-07,steady,4,4,none
2026-08-08,steady,4,4,none
2026-08-09,steady,4,4,none
2026-08-10,steady,4,4,none
2026-08-11,steady,4,0,none
2026-08-12,steady,4,4,none
2026-08-13,steady,4,3,none
2026-08-14,steady,4,4,none
2026-08-15,steady,4,4,none
2026-08-16,steady,4,4,none
2026-08-17,steady,4,4,none
2026-08-18,steady,4,4,none
2026-08-19,steady,4,4,none
2026-08-20,steady,4,4,none
2026-08-21,steady,4,3,none
2026-08-22,steady,4,4,none
2026-08-23,steady,4,4,none
2026-08-24,steady,4,4,none
2026-08-25,steady,4,3,none
2026-08-26,steady,4,4,none
2026-06-04,erratic,4,3,none
2026-06-05,erratic,4,2,none
2026-06-06,erratic,4,3,none
2026-06-07,erratic,4,3,none
2026-06-08,erratic,4,3,none
2026-06-09,erratic,4,2,none
2026-06-10,erratic,4,2,none
2026-06-11,erratic,4,0,none
2026-06-12,erratic,4,0,none
2026-06-13,erratic,4,0,none
2026-06-14,erratic,4,2,none
2026-06-15,erratic,4,3,none
2026-06-16,erratic,4,3,none
2026-06-17,erratic,4,3,none
2026-06-18,erratic,4,0,breakdown
2026-06-19,erratic,4,0,breakdown
2026-06-20,erratic,4,0,breakdown
2026-06-21,erratic,4,0,breakdown
2026-06-22,erratic,4,0,breakdown
2026-06-23,erratic,4,0,breakdown
2026-06-24,erratic,4,0,breakdown
2026-06-25,erratic,4,0,none
2026-06-26,erratic,4,1,none
2026-06-27,erratic,4,0,none
2026-06-28,erratic,4,0,none
2026-06-29,erratic,4,0,none
2026-06-30,erratic,4,2,none
2026-07-01,erratic,4,2,none
2026-07-02,erratic,4,2,none
2026-07-03,erratic,4,1,none
2026-07-04,erratic,4,2,none
2026-07-05,erratic,4,3,none
2026-07-06,erratic,4,1,none
2026-07-07,erratic,4,2,none
2026-07-08,erratic,4,3,none
2026-07-09,erratic,4,0,none
2026-07-10,erratic,4,1,none
2026-07-11,erratic,4,2,none
2026-07-12,erratic,4,1,travel
2026-07-13,erratic,4,1,travel
2026-07-14,erratic,4,1,travel
2026-07-15,erratic,4,1,travel
2026-07-16,erratic,4,1,travel
2026-07-17,erratic,4,1,travel
2026-07-18,erratic,4,0,none
2026-07-19,erratic,4,0,none
2026-07-20,erratic,4,1,none
2026-07-21,erratic,4,1,none
2026-07-22,erratic,4,0,none
2026-07-23,erratic,4,0,none
2026-07-24,erratic,4,2,none
2026-07-25,erratic,4,2,none
2026-07-26,erratic,4,2,none
2026-07-27,erratic,4,2,none
2026-07-28,erratic,4,2,none
2026-07-29,erratic,4,1,none
2026-07-30,erratic,4,3,none
2026-07-31,erratic,4,2,none
2026-08-01,erratic,4,2,none
2026-08-02,erratic,4,1,none
2026-08-03,erratic,4,0,breakdown
2026-08-04,erratic,4,0,breakdown
2026-08-05,erratic,4,0,breakdown
2026-08-06,erratic,4,0,breakdown
2026-08-07,erratic,4,1,none
2026-08-08,erratic,4,0,none
2026-08-09,erratic,4,2,none
2026-08-10,erratic,4,2,none
2026-08-11,erratic,4,0,none
2026-08-12,erratic,4,1,none
2026-08-13,erratic,4,3,none
2026-08-14,erratic,4,2,none
2026-08-15,erratic,4,2,none
2026-08-16,erratic,4,1,none
2026-08-17,erratic,4,1,none
2026-08-18,erratic,4,0,none
2026-08-19,erratic,4,2,none
2026-08-20,erratic,4,2,none
2026-08-21,erratic,4,2,none
2026-08-22,erratic,4,1,none
2026-08-23,erratic,4,1,none
2026-08-24,erratic,4,2,none
2026-08-25,erratic,4,0,none
2026-08-26,erratic,4,3,none
2026-06-04,typical,4,3,none
2026-06-05,typical,4,4,none
2026-06-06,typical,4,3,none
2026-06-07,typical,4,3,none
2026-06-08,typical,4,3,none
2026-06-09,typical,4,3,none
2026-06-10,typical,4,3,none
2026-06-11,typical,4,4,none
2026-06-12,typical,4,3,none
2026-06-13,typical,4,4,none
2026-06-14,typical,4,0,none
2026-06-15,typical,4,3,none
2026-06-16,typical,4,3,none
2026-06-17,typical,4,4,none
2026-06-18,typical,4,3,none
2026-06-19,typical,4,3,none
2026-06-20,typical,4,3,none
2026-06-21,typical,4,1,travel
2026-06-22,typical,4,1,travel
2026-06-23,typical,4,1,travel
2026-06-24,typical,4,1,travel
2026-06-25,typical,4,1,travel
2026-06-26,typical,4,1,travel
2026-06-27,typical,4,1,none
2026-06-28,typical,4,1,none
2026-06-29,typical,4,2,none
2026-06-30,typical,4,2,none
2026-07-01,typical,4,0,none
2026-07-02,typical,4,3,none
2026-07-03,typical,4,3,none
2026-07-04,typical,4,0,none
2026-07-05,typical,4,3,none
2026-07-06,typical,4,3,none
2026-07-07,typical,4,3,none
2026-07-08,typical,4,3,none
2026-07-09,typical,4,0,none
2026-07-10,typical,4,3,none
2026-07-11,typical,4,4,none
2026-07-12,typical,4,3,none
2026-07-13,typical,4,3,none
2026-07-14,typical,4,3,none
2026-07-15,typical,4,3,none
2026-07-16,typical,4,0,none
2026-07-17,typical,4,3,none
2026-07-18,typical,4,3,none
2026-07-19,typical,4,1,travel
2026-07-20,typical,4,1,travel
2026-07-21,typical,4,1,travel
2026-07-22,typical,4,1,travel
2026-07-23,typical,4,1,travel
2026-07-24,typical,4,2,none
2026-07-25,typical,4,1,none
2026-07-26,typical,4,2,none
2026-07-27,typical,4,2,none
2026-07-28,typical,4,3,none
2026-07-29,typical,4,3,none
2026-07-30,typical,4,3,none
2026-07-31,typical,4,3,none
2026-08-01,typical,4,3,none
2026-08-02,typical,4,3,none
2026-08-03,typical,4,3,none
2026-08-04,typical,4,3,none
2026-08-05,typical,4,4,none
2026-08-06,typical,4,3,none
2026-08-07,typical,4,3,none
2026-08-08,typical,4,3,none
2026-08-09,typical,4,0,illness
2026-08-10,typical,4,0,illness
2026-08-11,typical,4,1,none
2026-08-12,typical,4,2,none
2026-08-13,typical,4,2,none
2026-08-14,typical,4,2,none
2026-08-15,typical,4,3,none
2026-08-16,typical,4,3,none
2026-08-17,typical,4,3,none
2026-08-18,typical,4,3,none
2026-08-19,typical,4,3,none
2026-08-20,typical,4,3,none
2026-08-21,typical,4,3,none
2026-08-22,typical,4,3,none
2026-08-23,typical,4,3,none
2026-08-24,typical,4,3,none
2026-08-25,typical,4,3,none
